,Benchmark,Instance #,Cluster #,mo-time
33,C1_LLU_A_kallisto_umap.csv,72,3,79.00690960884094
33,C1_LLU_A_kallisto_umap.csv,72,3,95.56919646263124
33,C1_LLU_A_kallisto_umap.csv,72,3,131.54065990447998
33,C1_LLU_A_kallisto_umap.csv,72,3,81.95667672157288
33,C1_LLU_A_kallisto_umap.csv,72,3,81.12348508834839
33,C1_LLU_A_kallisto_umap.csv,72,3,91.2963285446167
33,C1_LLU_A_kallisto_umap.csv,72,3,82.1035532951355
33,C1_LLU_A_kallisto_umap.csv,72,3,77.63630890846252
33,C1_LLU_A_kallisto_umap.csv,72,3,89.6405668258667
33,C1_LLU_A_kallisto_umap.csv,72,3,80.81388998031616
33,C1_LLU_A_kallisto_umap.csv,72,3,91.17613291740416
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,121.99918961524963
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,106.4930944442749
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,123.73280572891235
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,108.4002161026001
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,111.51376914978027
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,106.28246688842772
27,C1_FDA_HT_A_kallisto_umap.csv,195,4,114.630850315094
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,108.68746995925903
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,105.32655239105225
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,139.340008020401
27,C1_FDA_HT_A_kallisto_umap.csv,195,4,117.45819067955016
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,108.12173414230348
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,110.23522472381592
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,118.32510471343994
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,109.89055371284483
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,107.4495451450348
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,103.68763279914856
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,121.52368903160097
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,139.32446575164795
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,120.589186668396
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,106.80605363845824
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,122.83297610282898
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,110.21964406967165
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,117.7236261367798
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,106.4678463935852
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,121.50528311729433
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,183.657252073288
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,135.93700313568115
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,106.14140176773073
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,105.33410167694092
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,119.81303572654724
28,C1_FDA_HT_A_rsem_umap.csv,197,3,108.10819220542908
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,109.43712019920348
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,105.2523045539856
28,C1_FDA_HT_A_rsem_umap.csv,197,3,106.1382541656494
28,C1_FDA_HT_A_rsem_umap.csv,197,3,111.0841829776764
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,105.99036121368408
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,101.89582562446594
28,C1_FDA_HT_A_rsem_umap.csv,197,3,108.88217544555664
28,C1_FDA_HT_A_rsem_umap.csv,197,3,110.781818151474
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,105.06498503684998
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,119.77372765541077
28,C1_FDA_HT_A_rsem_umap.csv,197,3,109.88651847839355
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,103.20273661613464
28,C1_FDA_HT_A_rsem_umap.csv,197,3,105.16074442863464
28,C1_FDA_HT_A_rsem_umap.csv,197,3,126.52150416374208
28,C1_FDA_HT_A_rsem_umap.csv,197,3,110.77230715751648
